nombre;marca;unidad; tipo
Caramel 45L;Patagonia Malt;KILOGRAMO;MALTA
Caramel 55L;Patagonia Malt;KILOGRAMO;MALTA
Caramel 70L;Patagonia Malt;KILOGRAMO;MALTA
Caramel 90L;Patagonia Malt;KILOGRAMO;MALTA
Cebada Tostada;Patagonia Malt;KILOGRAMO;MALTA
Chocolate 350L;Patagonia Malt;KILOGRAMO;MALTA
Coffee 230L;Patagonia Malt;KILOGRAMO;MALTA
Extra Pale;Patagonia Malt;KILOGRAMO;MALTA
Munich;Patagonia Malt;KILOGRAMO;MALTA
Pale Ale;Patagonia Malt;KILOGRAMO;MALTA
Perla Negra 340L;Patagonia Malt;KILOGRAMO;MALTA
Pilsen;Patagonia Malt;KILOGRAMO;MALTA
Trigo;Patagonia Malt;KILOGRAMO;MALTA
Vienna;Patagonia Malt;KILOGRAMO;MALTA
Pale Ale;Tai Pan;KILOGRAMO;MALTA
Pilsen;Tai Pan;KILOGRAMO;MALTA
Abbey;Weyermann;KILOGRAMO;MALTA
Acidulated;Weyermann;KILOGRAMO;MALTA
Beech Smoked Barley;Weyermann;KILOGRAMO;MALTA
Cara Wheat;Weyermann;KILOGRAMO;MALTA
Caraamber;Weyermann;KILOGRAMO;MALTA
Caraaroma;Weyermann;KILOGRAMO;MALTA
Carabelg;Weyermann;KILOGRAMO;MALTA
Carafa I;Weyermann;KILOGRAMO;MALTA
Carafa II;Weyermann;KILOGRAMO;MALTA
Carafa III;Weyermann;KILOGRAMO;MALTA
Carafa special I;Weyermann;KILOGRAMO;MALTA
Carafa special III;Weyermann;KILOGRAMO;MALTA
Carafoam;Weyermann;KILOGRAMO;MALTA
Carahell;Weyermann;KILOGRAMO;MALTA
Caramunich I (Type 1);Weyermann;KILOGRAMO;MALTA
Caramunich I (Type 2);Weyermann;KILOGRAMO;MALTA
Caramunich I (Type 3);Weyermann;KILOGRAMO;MALTA
Carapils;Weyermann;KILOGRAMO;MALTA
Carared;Weyermann;KILOGRAMO;MALTA
Chocolate Wheat;Weyermann;KILOGRAMO;MALTA
Melanoidin;Weyermann;KILOGRAMO;MALTA
Munich I (Type 1);Weyermann;KILOGRAMO;MALTA
Munich II (Type 2);Weyermann;KILOGRAMO;MALTA
Pale Ale;Weyermann;KILOGRAMO;MALTA
Pale Rye;Weyermann;KILOGRAMO;MALTA
Pale Wheat;Weyermann;KILOGRAMO;MALTA
Pilsen;Weyermann;KILOGRAMO;MALTA
Roasted Barley;Weyermann;KILOGRAMO;MALTA
Special W;Weyermann;KILOGRAMO;MALTA
Vienna;Weyermann;KILOGRAMO;MALTA
